Discord Username,Summoner IGN,Pos,Team Name,Rank Score,Stated Rank,True Peak Rank,Peak Ego Rank,Current Ego Rank,S2024 S3 Peak,S2024 S2 Peak,S2024 S1 Peak,S2023 S2 Peak,S2023 S1 Peak,Twitch Stream
recoveringschizo,evilpancakekitty#meow,JGL|MID,AWB,26,Gold 1-4,Emerald 3 31 LP,Platinum 1 90 LP,,,,Emerald 3 31 LP,Emerald 4 0 LP,,
Jerboas,Dan Smith#KLLR7|James Sunderland#KLLR7,SUP,V8,26,Platinum 1-4,Emerald 3 48 LP,Emerald 4 6 LP,Emerald 4 0 LP,,Emerald 3 48 LP,,,,
blizzardbear101,Harry Patterson#Fin,MID,TWO,26,Emerald 4,Emerald 4 53 LP,Emerald 4 53 LP,,,Emerald 4 53 LP,,Emerald 4 21 LP,,
Promech,Promech#NA1,TOP|MID,AWB,26,Platinum 1-4,Emerald 4 62 LP,Platinum 1 6 LP,,,,Emerald 4 62 LP,Emerald 4 0 LP,,
seagullslayer7,seagullslayer7#NA1,JGL,GT,26,Emerald 4,Emerald 4 36 LP,Emerald 4 36 LP,,,Platinum 2 66 LP,,Emerald 4 1 LP,,
_aly39_,AlyXO#3976|AlyXOXO#NA1|AlyXO#NA2,MID|SUP,TWO,26,Platinum 1-4,Emerald 3 0 LP,,,,Emerald 4 0 LP,Emerald 3 0 LP,Emerald 4 75 LP,,Twitch Link
BirdP3Rson,BirdP3Rson#37114|Li Lwhiteotisto#7265,BOT,FF,26,Platinum 1-4,Emerald 2 0 LP,,,,Emerald 4 69 LP,Emerald 4 1 LP,Emerald 2 0 LP,,
sigilofaletheia,SigilOfAletheia#NA1,SUP|JGL,GF,26,Platinum 1-4,Emerald 2 21 LP,,,,Emerald 4 0 LP,Emerald 2 21 LP,Emerald 3 1 LP,,
austinsilva,Bound#WVU1,SUP|TOP,LEG,27,Emerald 4,Emerald 4 30 LP,Emerald 4 30 LP,Emerald 4 30 LP,,,,Platinum 2 23 LP,,
thehamburglar8920,lsoDidact#NA1,TOP,PP,27,Platinum 1-4,Platinum 1 6 LP,Platinum 1 6 LP,Platinum 4 16 LP,,Gold 3 30 LP,,,,
themilkalator,FunnyyButton#NA123,BOT|MID,GF,28,Platinum 1-4,Platinum 4 38 LP,Platinum 4 38 LP,Platinum 4 14 LP,,Gold 3 0 LP,,,,
sithprincehammy,The Fool#URMAM,JGL,TWO,28,Platinum 1-4,Platinum 2 37 LP,Platinum 2 37 LP,Platinum 2 37 LP,,Platinum 2 17 LP,,,,
Jbish96,GumbaStomp69#NA1,BOT|SUP,FF,28,Platinum 1-4,Platinum 1 16 LP,Platinum 2 44 LP,Platinum 3 76 LP,,,,Platinum 1 16 LP,,
theotherbubble,bubbles101012#NA1,MID,V8,28,Gold 1-4,Platinum 3 53 LP,Gold 2 60 LP,,,Platinum 3 53 LP,Platinum 3 45 LP,,,
notalxd,notal#8836|PedDabney#3105,JGL,LKMT,28,Platinum 1-4,Emerald 4 14 LP,,,,Emerald 4 14 LP,Emerald 4 1 LP,Emerald 4 1 LP,,
Monturkey,Monturkey#9268,JGL,,28,Platinum 1-4,Emerald 3 75 LP,,,,Emerald 3 12 LP,Emerald 3 18 LP,Emerald 3 75 LP,,LEFT
mctatertot,GAMER DESTROYER#LLT|Gamer Destroyer#dump,JGL|SUP,GF,29,Emerald 3,Emerald 4 0 LP,,,,,Platinum 3 2 LP,Emerald 4 0 LP,,
crimson_0range,BigBootyBarrels#Bomba,TOP,MDFC,29,Platinum 1-4,Platinum 3 59 LP,Platinum 4 70 LP,,,,Platinum 3 41 LP,Platinum 3 59 LP,,
roseremains,Rose#630,SUP,MDFC,30,Gold 1-4,Gold 1 64 LP,Gold 1 64 LP,,,Gold 4 1 LP,Gold 4 32 LP,,,
Bhrisy,Bhrisy#NA69|Anti Tilt#NA69,SUP|TOP,SMA,31,Platinum 1-4,Platinum 3 92 LP,Platinum 3 92 LP,Platinum 4 76 LP,,,Gold 1 55 LP,,,
vegito3650,ICarryOrILose#FREAK|Alt Acc Inter#ALPHA,SUP|JGL,LKMT,31,Platinum 1-4,Platinum 2 44 LP,Platinum 2 44 LP,,,Platinum 3 31 LP,Platinum 2 25 LP,,,
Barretel,Barretel#Shaco|RangoStabCat#NA1,JGL|SUP,SMA,31,Platinum 1-4,Platinum 4 33 LP,Platinum 4 33 LP,Platinum 4 33 LP,,,,,Gold 2 3 LP,
Earthen,The World#URDAD|I ROAR YOU BOW#VAHIR|Judgement#URDAD,TOP|BOT,TWO,31,Emerald 4,Platinum 2 8 LP,,Platinum 4 1 LP,,Platinum 2 8 LP,,Platinum 3 4 LP,,
CCswift,CCswift#NA1,TOP,GT,31,Platinum 1-4,Emerald 4 0 LP,Platinum 4 54 LP,,,,Platinum 3 0 LP,Emerald 4 0 LP,,
.stran,Stran#NA1|DrStran#NA1,BOT,SMA,32,Platinum 1-4,Platinum 2 10 LP,,,,,Platinum 3 62 LP,Platinum 2 10 LP,,
aratthe,Team Curse #NA1|Sennanom#NA1,SUP,LEG,32,Gold 1-4,Platinum 1 27 LP,,,,Platinum 2 42 LP,Platinum 1 27 LP,Platinum 4 0 LP,,Twitch Stream
.jakefromstatefarmat3am,DESTROYXXXL#NA1|DESTROYXXXXL#NA1,TOP,SI,32,Emerald 3,Emerald 4 72 LP,Platinum 1 25 LP,,,Emerald 4 59 LP,Emerald 4 72 LP,,,
kybcat,kybcat#7796|kybcvt#NA1,BOT|TOP,WOW,32,Gold 1-4,Platinum 4 1 LP,Gold 1 48 LP,,,,Gold 4 99 LP,Platinum 4 1 LP,,
owlbirdy,OWLBIRD#NA1,MID|TOP,V8,32,Gold 1-4,Platinum 4 69 LP,,,,Platinum 4 69 LP,Platinum 4 62 LP,Platinum 4 15 LP,,
Yujii,Yujii#juju,MID,PP,33,Platinum 1-4,Emerald 2 5 LP,Platinum 4 0 LP,,,Emerald 3 0 LP,Emerald 2 5 LP,,,
darkll,Railleyacil#79810|Darkll#1024|pEwHdKOlive#NA1,MID,NC,33,Gold 1-4,Platinum 4 64 LP,Gold 1 31 LP,,,Gold 2 71 LP,Platinum 4 64 LP,,,
theencry,Encry#ssj3,JGL|TOP,,33,Platinum 1-4,Platinum 4 2 LP,Platinum 4 2 LP,Platinum 4 2 LP,,Gold 4 8 LP,,,,?
VeryLastNerve,verylastnerve#nerve,TOP|SUP,V8,33,Silver 1-4,Platinum 4 0 LP,Gold 4 37 LP,,,,Platinum 4 0 LP,Gold 2 30 LP,,
para.dox,dont ever stop#NA1,JGL|SUP,MDFC,33,Gold 1-4,Gold 3 82 LP,Gold 3 82 LP,Gold 3 59 LP,,Gold 3 30 LP,,,,
Maxwelljrm,maxwell#CAN,MID,,33,Gold 1-4,Gold 1 27 LP,Gold 1 27 LP,Gold 2 42 LP,,,Gold 4 37 LP,,,
bredonis,MiHughJanis#HUGH,TOP|JGL,,34,Gold 1-4,Gold 2 92 LP,Gold 2 92 LP,Gold 2 3 LP,,Gold 4 66 LP,,,,LEFT
Flaccid4U,Placid4U TTV#NA1|TryingToVibe#NA1|CuteSurprise#NA1|Flaccid4U#NA1,SUP,,35,Gold 1-4,Platinum 4 17 LP,Gold 2 0 LP,Gold 3 68 LP,,,,Platinum 4 17 LP,,Twitch Stream
tibbywibby11,The Moon#urbro,JGL,,35,Gold 1-4,Gold 3 0 LP,Gold 4 52 LP,Gold 4 10 LP,,,Gold 3 0 LP,,,
geekee,Geekèé#0001,SUP|BOT,V8,35,Gold 1-4,Gold 2 76 LP,Gold 2 76 LP,Gold 4 15 LP,,,,,,
just.neo,neo#1447,MID,,35,Gold 1-4,Emerald 4 0 LP,Gold 2 28 LP,,,Emerald 4 0 LP,,Gold 4 53 LP,,
