Discord Username,Summoner IGN,Pos,Team Name,Rank Score,Stated Rank,True Peak Rank,Peak Ego Rank,Current Ego Rank,S2024 S3 Peak,S2024 S2 Peak,S2024 S1 Peak,S2023 S2 Peak,S2023 S1 Peak,Twitch Stream
feeshstix,Feeshstix#fish,BOT,LEG,43,Silver 1-4,Silver 1,Bronze 1 75 LP,Bronze 1 75 LP,Silver 3,Silver 1,Bronze 2,Silver 3,Silver 3,
datgillyweed,gilly#1111,MID|SUP,o7,44,Bronze 1-4,Bronze 2,Bronze 4 51 LP,Bronze 4 51 LP,Bronze 2,,Bronze 2,Iron 2,,
jesshipo,PeachyVibes#80085,BOT|SUP,,45,Bronze 1-4,Silver 4 73 LP,,,,Silver 4 0 LP,,,Silver 4 73 LP,
crazymike1,Expertknifer#DADDY,BOT|SUP,,45,Bronze 1-4,Silver 3 80 LP,Bronze 1 16 LP,,,Silver 3 80 LP,Silver 4 24 LP,,,
kie2522,,SUP,,45,Silver 1-4,,,,,,,,,
brandis_,Brandis#0704,JGL,PP,46,Bronze 1-4,Bronze 3,,,Bronze 3,,,,,
joshe21,Bosco23#0323,SUP,,46,Bronze 1-4,Bronze 1 7 LP,Bronze 1 1 LP,Bronze 1 7 LP,,Iron 4 0 LP,,,,
angelofpaper2,AngelOfPaper2#NA1|AngelOfPaper3#GGS,MID|TOP,GT,47,Silver 1-4,Silver 2,Bronze 3 73 LP,Bronze 3 73 LP,Silver 2,Bronze 4,Silver 4,Silver 3,Bronze 3,
crusader_iii,WanderingNomad#Sader,JGL,,48,Bronze 1-4,Bronze 4 11 LP,Bronze 4 11 LP,Bronze 4 0 LP,,,,,,
Skymoare,Skymoare#poro,MID,,48,Bronze 1-4,Bronze 4 47 LP,Bronze 4 47 LP,Bronze 4 0 LP,,,,,,
peachyboop,PeachyBoop#xdd,SUP|JGL,,49,Iron 1-4,Bronze 4 13 LP,,,,Iron 2 26 LP,Bronze 4 13 LP,Iron 2 63 LP,,
Warmpikmin,TahmTuah#6088,TOP|MID,MBR,49,Iron 1-4,Iron 1,Iron 4 67 LP,Iron 4 67 LP,Iron 1,,,,,
Lanciferp,LanciferP#NA1,TOP|JGL,,50,Iron 1-4,Bronze 1 0 LP,Iron 2 90 LP,Iron 4 69 LP,,,,,,
melonorb,iggy#bored,BOT,MBR,50,Iron 1-4,,,,,,,,,
pandaleon,pandaleon#SLAY,JGL,WOW,37,Silver 1-4,Gold 3,Silver 4 0 LP,Silver 4 0 LP,Silver 2,Silver 2,Gold 3,Gold 3,Silver 1,
Newdled,Newdled#NA1,JGL,FF,27,Platinum 1-4,Emerald 4,Platinum 4 40 LP,Platinum 4 40 LP,Platinum 2,Emerald 4,Emerald 4,Platinum 1,Gold 2,
Peter,Petergriefer#LFT|Cassandrjet#NA1|SGM#LFT,JGL,PP,13,Diamond 2,Master 1 LP,Emerald 3 95 LP,Emerald 3 95 LP,Diamond 2,Diamond 1,Diamond 1,Master 1 LP,Diamond 2,
gumbee power,gumbee power#NA1,MID,MBR,-20,Challenger,Challenger 803 LP,,,Challenger 558 LP,Challenger 803 LP,Grandmaster 518 LP,Grandmaster 725 LP,Grandmaster 582 LP,Twitch Stream
